Sent_Timestamp,Recv_Timestamp,Latency_ms,Steer,Gas
1771367379.4358861,1771367375.1056633,9.999990463256836,0.0,0.01049041748046875
1771367379.4867296,1771367375.1561196,9.612798690795898,0.0,0.01049041748046875
1771367379.5375557,1771367375.2068064,9.473562240600586,0.0,0.01049041748046875
1771367379.5885644,1771367375.257375,9.033441543579102,0.0,0.01049041748046875
1771367379.639209,1771367375.3087513,9.765148162841797,0.0,0.01049041748046875
1771367379.6899455,1771367375.3595884,9.865760803222656,0.0,0.01049041748046875
1771367379.7408302,1771367375.409885,9.277582168579102,0.0,0.01049041748046875
1771367379.7916217,1771367375.4602885,8.88967514038086,0.0,0.01049041748046875
1771367379.842419,1771367375.5122764,10.080337524414062,0.0,0.01049041748046875
1771367379.8931477,1771367375.6186447,65.7198429107666,0.0,0.01049041748046875
1771367379.9441764,1771367375.6200922,16.138553619384766,0.0,0.01049041748046875
1771367379.9948196,1771367375.66342,8.823156356811523,0.0,0.01049041748046875
1771367380.0461242,1771367375.7188318,12.93039321899414,0.0,0.01049041748046875
1771367380.0972788,1771367375.823535,66.47896766662598,0.0,0.01049041748046875
1771367380.148391,1771367375.8248131,16.644954681396484,0.0,0.01049041748046875
1771367380.1997669,1771367375.918262,58.717966079711914,0.0,0.01049041748046875
1771367380.2504842,1771367375.9224803,12.218952178955078,0.0,0.01049041748046875
1771367380.3018153,1771367375.9708426,9.250164031982422,0.0,0.01049041748046875
1771367380.3524897,1771367376.0209773,8.710384368896484,0.0,0.01049041748046875
1771367380.4037037,1771367376.1280034,64.52250480651855,0.0,0.01049041748046875
1771367380.454622,1771367376.1292582,14.85896110534668,0.0,0.01049041748046875
1771367380.5053277,1771367376.1741927,9.087800979614258,0.0,0.01049041748046875
1771367380.556368,1771367376.2251453,9.000062942504883,0.0,0.01049041748046875
1771367380.607163,1771367376.3342988,67.35873222351074,0.0,0.01049041748046875
1771367380.6578233,1771367376.3357716,18.171072006225586,0.0,0.01049041748046875
1771367380.7088945,1771367376.4411798,72.50809669494629,0.0,0.01049041748046875
1771367380.760344,1771367376.4422207,22.09949493408203,0.0,0.01049041748046875
1771367380.8112442,1771367376.480818,9.796619415283203,0.0,0.01049041748046875
1771367380.8625998,1771367376.5448897,22.51267433166504,0.0,0.01049041748046875
1771367380.9134898,1771367376.6633742,90.10720252990723,0.0,0.01049041748046875
1771367380.9649386,1771367376.6644435,39.72768783569336,0.0,0.01049041748046875
1771367381.0159764,1771367376.6843438,8.590221405029297,0.0,0.01049041748046875
1771367381.0671859,1771367376.7534475,26.48448944091797,0.0,0.01049041748046875
1771367381.1183617,1771367376.7911677,13.028860092163086,0.0,0.01049041748046875
1771367381.1736517,1771367376.8575997,24.170875549316406,0.0,0.01049041748046875
1771367381.2249174,1771367376.8935428,8.848190307617188,0.0,0.01049041748046875
1771367381.2760546,1771367376.945381,9.549140930175781,0.0,0.01049041748046875
1771367381.3272448,1771367377.0049977,17.975807189941406,0.0,0.01049041748046875
1771367381.3783834,1771367377.0673375,29.176950454711914,0.0,0.01049041748046875
1771367381.4291945,1771367377.0974813,8.509635925292969,0.0,0.01049041748046875
1771367381.4801738,1771367377.1494555,9.504556655883789,0.0,0.01049041748046875
